station number;nbDocks
000959;30
000960;56
000961;17
000962;27
000963;60
000964;18
000965;16
000966;33
000967;27
000968;21
000969;17
000970;21
000971;25
000972;54
000973;38
000974;32
000975;26
000976;21
000978;26
000979;28
000980;49
000981;35
000982;40
000983;24
000984;33
000985;28
000986;29
000988;26
000989;27
000990;24
000991;34
000992;18
000993;28
000994;41
000995;21
000996;21
000997;51
000998;25
000999;22
001000;17
001001;24
001002;28
001003;29
001004;50
001005;16
001006;25
001007;27
001008;26
001009;30
001010;21
